FID,AlternateID,BAM,Species ,Field_Sex,Bioinformartic_Sex,PCR_Sex,Confirmed_Sex,Covariate,Collection_Date ,Field_Labeled_Age,Binary_Age_Fcatalog,Covariate_code,Main_Site,local_Site,Lek,UTM_Zone,GPS,Wing,Wing_round,Wing_round_outlierremoved,Tail,Tail_round,Tail_round_outlierremoved,Pinnae,Pinnae_round,,Comb_Height,Comb_Height_round,Comb_Length,Comb_length_round,Comb_area,Comb_area_outlierremoved,Total Head Length,Head_round,Head_round_outlierremoved,Culmen,Culmen_round,Culmen_round_outlierremoved,Tarsus_toe_length,Tarsus_round,Tarsus_round_outlierremoved,Mass,Mass_round,Mass_round_outlierremoved,Field_Notes,AJM_Notes
F480,60NW13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/21/2013,SY,A,,NW,GOVE,CENTRAL YORK,,"38.7566848568296,-100.591057995627",205,205,205,83.22,83,83,42.31,42,42,N/A,#VALUE!,N/A,#VALUE!,#VALUE!,NA,62.62,63,63,15.66,16,16,52.88,53,53,810,810,810,,
F486,15RH13,,T_pallidicinctus,F ,heteromorphic,,F,,4/24/2013,ASY,A,,RH,RH,N BOXCAR,,"37.42276801204,-99.0791129947931",195,195,195,81,81,81,28,28,28,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,60,60,60,14,14,14,54,54,54,750,750,750,,
F490,20RH13,,T_pallidicinctus,F ,heteromorphic,,F,,4/25/2013,SY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",186,186,186,74,74,74,19,19,19,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,56,56,56,13,13,13,51,51,51,635,635,635,,
F517,49RH14,,T_pallidicinctus,M,heteromorphic,Female,F,,3/19/2014,SY,A,,RH,RH,WINDMILL,,"37.2553605449439,-99.1137039588911",223,223,223,83,83,83,66,66,NA,10,10,27,27,270,270,56,56,56,14,14,14,100,100,100,725,725,725,none,
F535,14NW14,,T_pallidicinctus,F ,heteromorphic,,F,,3/24/2014,ASY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",212,212,212,74,74,74,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.11,59,59,13.11,13,13,91,91,91,720,720,720,Flew away,
F536,15NW14,,T_pallidicinctus,F ,heteromorphic,,F,,3/24/2014,SY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",207,207,207,70,70,70,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,61.75,62,62,12.39,12,12,89,89,89,740,740,740,Flew away,
F547,18NW14-A,,T_pallidicinctus,F ,heteromorphic,,F,,3/27/2014,SY,A,,NW,GOVE,SOUTH BEOUGHER,,"38.772798130285,-100.56958698272",205,205,205,78,78,78,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,57.66,58,58,12.57,13,13,81,81,81,645,645,645,Flew away,
F548,19NW14,,T_pallidicinctus,F ,heteromorphic,,F,,3/27/2014,SY,A,,NW,GOVE,CENTRAL YORK,,"38.7566831305242,-100.59105598241",194,194,194,75,75,75,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,60.73,61,61,13.93,14,14,90,90,90,690,690,690,Flew away,
F550,2RH14,,T_pallidicinctus,F ,heteromorphic,,F,,3/28/2014,HY,J,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",204,204,204,80,80,80,24.5,25,25,4,4,19,19,76,76,57,57,57,13,13,13,98,98,98,675,675,675,none,"This is likely not a hatch year, it would not be possible in the spring "
F551,3ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,3/29/2014,SY,A,,Clark,Clark,GAR 4,,"37.0464593288003,-99.8892873128156",203,203,203,88,88,88,30,30,30,4,4,20,20,80,80,59.96,60,60,11.69,12,12,90,90,90,700,700,700,"flopped around a bit when released, then flew ~200m",Lek does not correspond with recapture data
F552,4RH14,,T_pallidicinctus,F ,heteromorphic,,F,,3/29/2014,HY,J,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",206,206,206,81,81,81,30,30,30,4,4,23,23,92,92,58,58,58,14,14,14,91,91,91,725,725,725,none,
F554,21NW14-A,,T_pallidicinctus,F ,heteromorphic,,F,,3/30/2014,SY,A,,NW,GOVE,SOUTH BEOUGHER,,"38.772798130285,-100.56958698272",198,198,198,74,74,74,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,57.01,57,57,11.65,12,12,80,80,80,730,730,730,Flew away,
F555,22NW14-A,,T_pallidicinctus,M,heteromorphic,Female,F,,3/30/2014,SY,A,,NW,GOVE,RUDZICK,,"38.8285831311988,-100.644204981672",204,204,204,84,84,84,63,63,NA,9.3,9,27.8,28,252,252,59.8,60,60,13.1,13,13,73,73,73,765,765,765,,
F561,5ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/2/2014,SY,A,,Clark,Clark,GAR 6,,"37.0374390650379,-99.9358001294474",208,208,208,101,101,101,24,24,24,4,4,14,14,56,56,56.5,57,57,11.22,11,11,90,90,90,685,685,685,"Primary feathers a bit banged up from the drop net. Flopped a little on release, then flew away fairly well ~2-300m",
F562,8RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/2/2014,ASY,A,,RH,RH,BOXCAR,,"37.42276801204,-99.0791129947931",202,202,202,76,76,76,26.5,27,27,4,4,20.5,21,84,84,56,56,56,12,12,12,100,100,100,730,730,730,none,
F564,25NW14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/4/2014,ASY,A,,NW,GOVE,NE BEOUGHER,,"38.7796911301898,-100.560652982854",209,209,209,75,75,75,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,61.29,61,61,13.76,14,14,81,81,81,655,655,655,,
F566,29NW14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/4/2014,AHY,J,,NW,GOVE,FLEMING 1,,"38.7809381314149,-100.661962981396",217,217,217,86,86,86,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.86,60,60,13.07,13,13,78,78,78,845,845,845,"Rounded tips, but spotting on 10th primary",
F571,6ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/4/2014,SY,A,,Clark,Clark,GAR 9,,"37.065089224673,-99.8664346845525",204,204,204,97,97,97,33,33,33,7,7,29,29,203,203,64,64,64,14,14,14,89,89,89,700,700,700,flew away no problem!,
F572,7ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/4/2014,SY,A,,Clark,Clark,GAR 6,,"37.0374390650379,-99.9358001294474",205,205,205,82,82,82,25,25,25,5,5,18,18,90,90,53.83,54,54,11.36,11,11,89,89,89,700,700,700,flew away fine,
F573,10ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/5/2014,SY,A,,Clark,Clark,GAR 11,,"37.06566647705,-99.7820674808799",210,210,210,104,104,104,29,29,29,5,5,11,11,55,55,59,59,59,13,13,13,92,92,92,785,785,785,flew off fine,
F575,30NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/5/2014,ASY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",208,208,208,79,79,79,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.84,60,60,15.42,15,15,81,81,81,770,770,770,,
F576,32NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/5/2014,SY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",200,200,200,81,81,81,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,57.15,57,57,13.36,13,13,80,80,80,725,725,725,Flew approximately 100 meters,
F577,33NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/5/2014,SY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",209,209,209,82,82,82,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,58.48,58,58,14.04,14,14,81,81,81,700,700,700,,
F578,34NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/5/2014,SY,A,,NW,GOVE,FLEMING 3,,"38.7703201315106,-100.669189981279",199,199,199,80,80,80,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.01,59,59,14.04,14,14,80,80,80,695,695,695,,
F582,10RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/6/2014,HY,J,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",203,203,203,82,82,82,26,26,26,4,4,23,23,92,92,61,61,61,14,14,14,103,103,103,725,725,725,Flew off. Saw something hanging from brid. Possibly transmitter. If get mortality transmitter may have just fallen off.,"This is likely not a hatch year, it would not be possible in the spring "
F584,9RH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/6/2014,HY,J,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",194,194,194,73,73,73,27.5,28,28,4,4,17,17,68,68,58,58,58,14,14,14,100,100,100,675,675,675,Flew off,"This is likely not a hatch year, it would not be possible in the spring "
F585,12RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/7/2014,NA,NA,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",202,202,202,81,81,81,27.5,28,28,4,4,14.5,15,60,60,56,56,56,13,13,13,98,98,98,725,725,725,None,
F586,11RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/7/2014,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",200,200,200,87,87,87,21,21,21,5,5,16,16,80,80,57,57,57,18,18,NA,96,96,96,690,690,690,none,
F589,12ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2014,SY,A,,Clark,Clark,GAR 11,,"37.06566647705,-99.7820674808799",203,203,203,84,84,84,31,31,31,5,5,15,15,75,75,73,73,NA,11,11,11,91,91,91,630,630,630,hopped a couple times then flew to southeast,
F590,11ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2014,AHY,J,,Clark,Clark,GAR 11,,"37.06566647705,-99.7820674808799",206,206,206,102,102,102,33,33,33,5,5,22,22,110,110,65,65,65,13,13,13,93,93,93,775,775,775,sat for a moment then flew to east,
F591,13ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2014,ASY,A,,Clark,Clark,GAR 4,,"37.103419181643,-99.96310268882",208,208,208,82,82,82,31,31,31,5,5,18,18,90,90,56.07,56,56,11.93,12,12,87,87,87,685,685,685,"flew away fine, East/Northeast",
F592,36NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2014,AHY,J,,NW,GOVE,CENTRAL YORK,,"38.7566831305242,-100.59105598241",194,194,194,82,82,82,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.28,59,59,13.9,14,14,81,81,81,710,710,710,"Rounded tips, no fraying, but spotting within 1 inch of tip on 10th primary",
F594,13RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",199,199,199,84,84,84,30,30,30,5,5,18,18,90,90,56,56,56,13,13,13,98,98,98,740,740,740,Flew off,
F595,14ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,SY,A,,Clark,Clark,GAR 2,,"37.0424274196608,-99.842720241398",201,201,201,89,89,89,29,29,29,4,4,21,21,84,84,58,58,58,13,13,13,92,92,92,675,675,675,flew away fine,
F597,15ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,SY,A,,Clark,Clark,GAR 2,,"37.0424274196608,-99.842720241398",210,210,210,91,91,91,35,35,35,5,5,23,23,115,115,59,59,59,13,13,13,89,89,89,715,715,715,flew away fine,
F598,15RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,ASY,A,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,NA,#VALUE!,#VALUE!,NA,#VALUE!,NA,NA,#VALUE!,NA,665,665,665,Bird not doing well- didn't get morphos,
F599,16ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,SY,A,,Clark,Clark,GAR 2,,"37.0424274196608,-99.842720241398",196,196,196,89,89,89,25,25,25,5,5,20,20,100,100,57,57,57,11,11,11,90,90,90,720,720,720,flew fine,
F600,16RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",208,208,208,85,85,85,36.5,37,37,4,4,21.5,22,88,88,57,57,57,13,13,13,101,101,101,785,785,785,Flew off,
F601,17ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/9/2014,SY,A,,Clark,Clark,GAR 8,,"37.0931357792932,-99.9517539931793",202,202,202,81,81,81,25,25,25,3,3,12,12,36,36,63.13,63,63,13.1,13,13,90,90,90,735,735,735,flew away fine to NE,
F607,17RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/10/2014,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",206,206,206,80,80,80,24,24,24,6,6,24,24,144,144,55,55,55,14,14,14,95,95,95,830,830,830,none,
